anio,peaje,lat,lon,dia,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic
2018,caapucu,-26.375892755677032,-57.13070028923169,1,5546,3213,3020,5022,2095,2368,2014,2156,2144,2547,2142,2751
2018,caapucu,-26.375892755677032,-57.13070028923169,2,5539,4896,3811,2980,2277,1795,1977,2234,1845,2467,3050,2627
2018,caapucu,-26.375892755677032,-57.13070028923169,3,4224,4438,3445,383,421,1550,1938,2686,2041,2341,2161,2353
2018,caapucu,-26.375892755677032,-57.13070028923169,4,3884,5313,2701,2348,2969,1983,2006,2225,2282,2689,2251,2571
2018,caapucu,-26.375892755677032,-57.13070028923169,5,4601,3424,2272,2628,2137,2148,2325,2379,2299,3155,2211,2513
2018,caapucu,-26.375892755677032,-57.13070028923169,6,4578,2805,2381,2934,1890,2130,3088,2203,2523,2786,2144,2670
2018,caapucu,-26.375892755677032,-57.13070028923169,7,5299,2883,2492,2522,2225,2289,2538,2415,3036,2226,2360,3763
2018,caapucu,-26.375892755677032,-57.13070028923169,8,3725,3301,2565,2117,2225,3136,2207,2191,2618,2261,2576,2901
2018,caapucu,-26.375892755677032,-57.13070028923169,9,3337,4879,3281,2405,2355,2936,2514,2546,2629,2406,3057,3876
2018,caapucu,-26.375892755677032,-57.13070028923169,10,3837,4801,2861,2306,2433,2517,2688,3199,2492,2255,2525,2916
2018,caapucu,-26.375892755677032,-57.13070028923169,11,4281,5298,2282,2341,3228,2746,2646,2776,2303,2646,2349,2945
2018,caapucu,-26.375892755677032,-57.13070028923169,12,5087,3562,2552,2479,4115,2015,2671,2155,2351,3251,2410,2789
2018,caapucu,-26.375892755677032,-57.13070028923169,13,4409,2750,2312,3216,3007,2056,3416,2391,2257,2283,0,2910
2018,caapucu,-26.375892755677032,-57.13070028923169,14,4960,2637,2619,2245,2891,2093,2918,2365,2661,2207,2178,3680
2018,caapucu,-26.375892755677032,-57.13070028923169,15,4163,2913,2710,2046,3616,2801,2920,2391,2122,2291,2668,3267
